ID,DAY 1 logFC,DAY 2 logFC,DAY 4 logFC,DAY 7 logFC,DAY 14 logFC
ILMN_1762932,-0.44,-0.09,-0.31,-0.27,-0.31
ILMN_1671893,-0.44,-0.09,-0.31,-0.27,-0.31
ILMN_1806754,-0.39,-0.44,-0.66,-0.2,-0.12
ILMN_2217289,0.22,0.22,0.6,0.47,0.34
ILMN_2131123,-0.61,0.13,-0.17,0.12,0.12
ILMN_1719031,-0.61,0.13,-0.17,0.12,0.12
ILMN_1801303,-0.61,0.13,-0.17,0.12,0.12
ILMN_1751102,-0.61,0.13,-0.17,0.12,0.12
ILMN_1656145,-0.13,0.06,0.43,0.26,0.1
ILMN_1681780,0.02,0.22,0.98,0.16,0.29
ILMN_2148527,-0.27,0.14,-0.45,-0.41,-0.73
ILMN_1741224,-0.06,-0.05,0,-0.49,-0.1
ILMN_1775498,0.06,0.37,0.3,0.43,0.03
ILMN_1700515,0.23,-0.26,0.15,-0.46,-0.21
ILMN_1741924,0.23,-0.26,0.15,-0.46,-0.21
ILMN_1712985,0.23,-0.26,0.15,-0.46,-0.21
ILMN_2398926,0.23,-0.26,0.15,-0.46,-0.21
ILMN_1688997,0.23,-0.26,0.15,-0.46,-0.21
ILMN_1805973,-0.01,0.03,0.45,0.12,0.06
ILMN_2102201,-0.01,0.03,0.45,0.12,0.06
ILMN_1673073,0.16,0.09,0.21,0.34,0.09
ILMN_1743373,-0.18,-0.24,-0.2,-0.34,-0.16
ILMN_3248773,0.34,0.32,0.55,0.26,0.4
ILMN_1804895,-0.14,-0.05,-0.31,-0.08,0.03
ILMN_1681826,0.08,0.02,-0.3,0.05,-0.06
ILMN_2378952,-0.13,0.12,-0.16,-0.37,-0.44
ILMN_1734353,-0.13,0.12,-0.16,-0.37,-0.44
ILMN_1661376,-0.21,-0.17,0.09,-0.34,-0.3
ILMN_2396702,-0.21,-0.17,0.09,-0.34,-0.3
ILMN_1666934,-0.21,-0.17,0.09,-0.34,-0.3
ILMN_2396697,-0.21,-0.17,0.09,-0.34,-0.3
ILMN_2330307,0.3,0.22,0.33,0.61,0.2
ILMN_1672553,0.3,0.22,0.33,0.61,0.2
ILMN_1658407,0.3,0.22,0.33,0.61,0.2
ILMN_1762319,0.3,0.22,0.33,0.61,0.2
ILMN_2048700,0.28,0.31,0.37,0.22,0.19
ILMN_1652223,-0.02,-0.18,-0.28,-0.19,-0.14
ILMN_2393243,0.25,0.05,0.2,0.2,0.3
ILMN_1660698,0.25,0.05,0.2,0.2,0.3
ILMN_2286514,0.25,0.05,0.2,0.2,0.3
ILMN_1740345,-0.15,-0.16,-0.24,-0.32,-0.16
ILMN_2357361,-0.15,-0.16,-0.24,-0.32,-0.16
ILMN_2334042,-0.15,-0.16,-0.24,-0.32,-0.16
ILMN_1711470,0.26,0.26,0.55,0.26,0.15
ILMN_1760280,0.3,0.28,0.23,0.18,0.32
ILMN_1702140,0.14,-0.07,0.49,0.32,0.16
ILMN_2077550,0.14,-0.07,0.49,0.32,0.16
ILMN_2401352,0.5,0.38,0.46,0.21,0.2
ILMN_1786065,0.5,0.38,0.46,0.21,0.2
ILMN_2139816,-0.14,-0.13,0.46,0.53,0.15
ILMN_1682567,0.09,-0.28,-0.34,-0.22,0.17
ILMN_1651872,0.19,0.08,0.14,0.07,0.41
ILMN_1716583,-0.35,-0.24,-0.26,-0.37,-0.17
ILMN_2369286,-0.35,-0.24,-0.26,-0.37,-0.17
ILMN_1712563,0.19,0.22,0.5,0.11,0.17
